model,prompt_policy,tool_level,input_condition,contradiction_strength,n,classification_accuracy,contradiction_accuracy,contradiction_binary_f1,recommended_action_accuracy,malformed_fraction,abstention_rate,ece_10bin,mean_latency_seconds,mean_tool_call_count,total_input_tokens,total_output_tokens
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,0.00,2,0.5,1.0,nan,1.0,0.0,0.0,0.32999999999999996,22.47270405292511,5.5,17295,2526
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,0.50,2,1.0,0.5,0.0,1.0,0.0,0.0,0.195,23.56236958503723,5.5,13889,2494
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,1.00,2,1.0,0.5,0.6666666666666666,0.5,0.0,0.0,0.29,19.742481470108032,4.0,16297,2005
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,all,6,0.8333333333333334,0.6666666666666666,0.5,0.8333333333333334,0.0,0.0,0.21499999999999997,21.925851702690125,5.0,47481,7025
