model,prompt_policy,tool_level,input_condition,contradiction_strength,n,classification_accuracy,contradiction_accuracy,contradiction_binary_f1,recommended_action_accuracy,malformed_fraction,abstention_rate,ece_10bin,mean_latency_seconds,mean_tool_call_count,total_input_tokens,total_output_tokens
claude-sonnet-4-6,evidence_separation,scientific,hic_only,0.00,2,0.0,nan,nan,nan,0.0,0.0,0.8,19.811662912368774,3.5,11502,2112
claude-sonnet-4-6,evidence_separation,scientific,hic_only,0.50,2,1.0,nan,nan,nan,0.0,0.0,0.22499999999999998,17.01571750640869,3.0,11339,1883
claude-sonnet-4-6,evidence_separation,scientific,hic_only,1.00,2,1.0,nan,nan,nan,0.0,0.0,0.22499999999999998,16.774412512779236,3.0,11304,1810
claude-sonnet-4-6,evidence_separation,scientific,hic_only,all,6,0.6666666666666666,nan,nan,nan,0.0,0.0,0.1166666666666667,17.8672643105189,3.1666666666666665,34145,5805
