model,prompt_policy,tool_level,input_condition,contradiction_strength,n,classification_accuracy,contradiction_accuracy,contradiction_binary_f1,recommended_action_accuracy,malformed_fraction,abstention_rate,ece_10bin,mean_latency_seconds,mean_tool_call_count,total_input_tokens,total_output_tokens
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,0.00,2,1.0,1.0,nan,1.0,0.0,0.0,0.17500000000000004,15.023157477378845,5.0,16232,1658
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,0.50,2,0.0,0.5,0.0,0.5,0.0,0.0,0.6950000000000001,17.98865497112274,6.0,16484,2063
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,1.00,2,1.0,0.0,0.0,0.0,0.0,0.0,0.21999999999999997,16.60406005382538,4.5,16132,1693
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,all,6,0.6666666666666666,0.5,0.0,0.5,0.0,0.0,0.24666666666666665,16.538624167442322,5.166666666666667,48848,5414
