model,prompt_policy,tool_level,input_condition,contradiction_strength,n,classification_accuracy,contradiction_accuracy,contradiction_binary_f1,recommended_action_accuracy,malformed_fraction,abstention_rate,ece_10bin,mean_latency_seconds,mean_tool_call_count,total_input_tokens,total_output_tokens
claude-sonnet-4-6,evidence_separation,scientific,hic_only,0.00,2,0.5,nan,nan,nan,0.0,0.0,0.24,16.900980949401855,3.0,11284,1870
claude-sonnet-4-6,evidence_separation,scientific,hic_only,0.50,2,0.5,nan,nan,nan,0.0,0.0,0.46499999999999997,18.07790446281433,3.0,11297,1772
claude-sonnet-4-6,evidence_separation,scientific,hic_only,1.00,2,0.5,nan,nan,nan,0.0,0.0,0.52,19.755380988121033,4.0,11735,2189
claude-sonnet-4-6,evidence_separation,scientific,hic_only,all,6,0.5,nan,nan,nan,0.0,0.0,0.2716666666666666,18.244755466779072,3.3333333333333335,34316,5831
