model,prompt_policy,tool_level,input_condition,contradiction_strength,n,classification_accuracy,contradiction_accuracy,contradiction_binary_f1,recommended_action_accuracy,malformed_fraction,abstention_rate,ece_10bin,mean_latency_seconds,mean_tool_call_count,total_input_tokens,total_output_tokens
claude-opus-4-7,evidence_separation,scientific,both_modalities,0.00,2,0.5,0.5,0.0,0.5,0.0,0.0,0.28,7.934336185455322,1.0,10977,818
claude-opus-4-7,evidence_separation,scientific,both_modalities,0.50,2,0.5,0.5,0.6666666666666666,0.0,0.0,0.0,0.385,8.033924221992493,1.0,10966,847
claude-opus-4-7,evidence_separation,scientific,both_modalities,1.00,2,1.0,0.5,1.0,0.5,0.0,0.0,0.44999999999999996,8.068134903907776,1.0,10964,818
claude-opus-4-7,evidence_separation,scientific,both_modalities,all,6,0.6666666666666666,0.5,0.75,0.3333333333333333,0.0,0.0,0.11499999999999994,8.012131770451864,1.0,32907,2483
