model,prompt_policy,tool_level,input_condition,contradiction_strength,n,classification_accuracy,contradiction_accuracy,contradiction_binary_f1,recommended_action_accuracy,malformed_fraction,abstention_rate,ece_10bin,mean_latency_seconds,mean_tool_call_count,total_input_tokens,total_output_tokens
claude-opus-4-7,evidence_separation,scientific,image_only,0.00,2,1.0,nan,nan,nan,0.0,0.0,0.30000000000000004,8.660672068595886,2.0,11376,895
claude-opus-4-7,evidence_separation,scientific,image_only,0.50,2,0.5,nan,nan,nan,0.0,0.0,0.12,10.038879036903381,2.0,11357,885
claude-opus-4-7,evidence_separation,scientific,image_only,1.00,2,1.0,nan,nan,nan,0.0,0.0,0.3400000000000001,10.861587285995483,2.0,11387,870
claude-opus-4-7,evidence_separation,scientific,image_only,all,6,0.8333333333333334,nan,nan,nan,0.0,0.0,0.17333333333333334,9.853712797164917,2.0,34120,2650
