model,prompt_policy,tool_level,input_condition,contradiction_strength,n,classification_accuracy,contradiction_accuracy,contradiction_binary_f1,recommended_action_accuracy,malformed_fraction,abstention_rate,ece_10bin,mean_latency_seconds,mean_tool_call_count,total_input_tokens,total_output_tokens
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,0.00,2,0.5,0.5,0.0,0.5,0.0,0.0,0.32999999999999996,20.51486337184906,4.0,10174,2238
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,0.50,2,0.0,0.0,0.0,0.0,0.0,0.0,0.85,22.329854369163513,6.5,19560,2427
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,1.00,2,0.5,0.0,0.0,0.5,0.0,0.0,0.55,18.896523594856262,4.0,13229,1831
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,all,6,0.3333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.5766666666666667,20.580413778622944,4.833333333333333,42963,6496
