model,prompt_policy,tool_level,input_condition,contradiction_strength,n,classification_accuracy,contradiction_accuracy,contradiction_binary_f1,recommended_action_accuracy,malformed_fraction,abstention_rate,ece_10bin,mean_latency_seconds,mean_tool_call_count,total_input_tokens,total_output_tokens
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,0.00,2,0.0,0.5,0.0,0.5,0.0,0.0,0.7,20.93912148475647,5.0,16800,2241
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,0.50,2,1.0,0.5,0.0,0.5,0.0,0.0,0.18000000000000005,22.07123601436615,7.0,20043,2369
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,1.00,2,0.0,0.5,0.0,0.5,0.0,0.0,0.83,21.151902556419373,5.5,13802,2226
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,all,6,0.3333333333333333,0.5,0.0,0.5,0.0,0.0,0.44999999999999996,21.387420018513996,5.833333333333333,50645,6836
