model,input_condition,n,classification_accuracy,contradiction_accuracy,contradiction_binary_f1,recommended_action_accuracy,malformed_fraction,ece_10bin,timeout_rate,nonzero_returncode_rate,mean_latency_seconds,total_cost_usd
haiku,both_modalities,90,0.6222222222222222,0.3111111111111111,0.325,0.32222222222222224,0.0,0.1272222222222223,0.0,0.0,30.230505879720052,2.8057255
haiku,hic_only,90,0.5,nan,nan,nan,0.0,0.271,0.0,0.0,50.311512025197345,4.90381625
haiku,image_only,90,0.4444444444444444,nan,nan,nan,0.0,0.28488888888888886,0.0,0.0,25.16225335068173,2.55015655
opus,both_modalities,90,0.5222222222222223,0.32222222222222224,0.2857142857142857,0.3333333333333333,0.0,0.18222222222222229,0.0,0.0,37.8680392715666,13.76607775
opus,hic_only,90,0.5,nan,nan,nan,0.0,0.20144444444444448,0.0,0.0,33.580590234862434,13.46152025
opus,image_only,90,0.5555555555555556,nan,nan,nan,0.0,0.011555555555555755,0.0,0.0,32.655217451519434,12.9167355
sonnet,both_modalities,90,0.5666666666666667,0.3333333333333333,0.26666666666666666,0.37777777777777777,0.0,0.10222222222222221,0.0,0.0,123.95976596143511,16.39959955
sonnet,hic_only,90,0.5,nan,nan,nan,0.0,0.2374444444444444,0.0,0.0,134.51618610488043,17.7632256
sonnet,image_only,90,0.4777777777777778,nan,nan,nan,0.0,0.1334444444444445,0.0,0.0,91.53342788219452,11.891283999999999
