model,left_condition,right_condition,metric,delta,approx95_low,approx95_high,n
haiku,both_modalities,image_only,label_correct,0.17777777777777778,0.044286867978537175,0.3112686875770184,90
haiku,both_modalities,hic_only,label_correct,0.12222222222222222,-0.022474793106261867,0.2669192375507063,90
haiku,hic_only,image_only,label_correct,0.05555555555555555,-0.07715464042036091,0.18826575153147201,90
opus,both_modalities,image_only,label_correct,-0.03333333333333333,-0.15894725146927546,0.09228058480260881,90
opus,both_modalities,hic_only,label_correct,0.022222222222222223,-0.04687690523976362,0.09132134968420808,90
opus,hic_only,image_only,label_correct,-0.05555555555555555,-0.16876328993005996,0.05765217881894885,90
sonnet,both_modalities,image_only,label_correct,0.08888888888888889,-0.033610771257678085,0.21138854903545587,90
sonnet,both_modalities,hic_only,label_correct,0.06666666666666667,-0.03028780609124837,0.1636211394245817,90
sonnet,hic_only,image_only,label_correct,0.022222222222222223,-0.11269813724412966,0.15714258168857412,90
