model,prompt_policy,tool_level,input_condition,contradiction_strength,n,classification_accuracy,contradiction_accuracy,contradiction_binary_f1,recommended_action_accuracy,malformed_fraction,abstention_rate,ece_10bin,mean_latency_seconds,mean_tool_call_count,total_input_tokens,total_output_tokens
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,0.00,2,1.0,1.0,1.0,1.0,0.0,0.0,0.21000000000000002,20.071338415145874,5.5,16357,2118
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,0.50,2,0.0,1.0,nan,1.0,0.0,0.0,0.815,18.625365614891052,5.0,16302,2048
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,1.00,2,0.0,0.5,1.0,0.0,0.0,0.0,0.72,20.39550805091858,5.5,16405,2169
claude-sonnet-4-6,evidence_separation,scientific,both_modalities,all,6,0.3333333333333333,0.8333333333333334,1.0,0.6666666666666666,0.0,0.0,0.44166666666666665,19.69740402698517,5.333333333333333,49064,6335
