model,prompt_policy,tool_level,input_condition,contradiction_strength,n,classification_accuracy,contradiction_accuracy,contradiction_binary_f1,recommended_action_accuracy,malformed_fraction,abstention_rate,ece_10bin,mean_latency_seconds,mean_tool_call_count,total_input_tokens,total_output_tokens
claude-opus-4-7,evidence_separation,scientific,both_modalities,0.00,2,0.5,0.0,1.0,0.5,0.0,0.0,0.07499999999999996,7.871928930282593,1.0,10968,850
claude-opus-4-7,evidence_separation,scientific,both_modalities,0.50,2,0.5,0.0,0.0,0.5,0.0,0.0,0.575,42.55236506462097,1.0,10974,813
claude-opus-4-7,evidence_separation,scientific,both_modalities,1.00,2,0.5,0.0,0.0,0.0,0.0,0.0,0.28,7.861522436141968,1.0,10966,812
claude-opus-4-7,evidence_separation,scientific,both_modalities,all,6,0.5,0.0,0.5,0.3333333333333333,0.0,0.0,0.25999999999999995,19.42860547701518,1.0,32908,2475
