model,prompt_policy,tool_level,input_condition,contradiction_strength,n,classification_accuracy,contradiction_accuracy,contradiction_binary_f1,recommended_action_accuracy,malformed_fraction,abstention_rate,ece_10bin,mean_latency_seconds,mean_tool_call_count,total_input_tokens,total_output_tokens
claude-sonnet-4-6,evidence_separation,scientific,hic_only,0.00,2,0.5,nan,nan,nan,0.0,0.0,0.46,17.35518503189087,3.5,11518,1917
claude-sonnet-4-6,evidence_separation,scientific,hic_only,0.50,2,0.5,nan,nan,nan,0.0,0.0,0.28,17.044081211090088,3.5,11501,1889
claude-sonnet-4-6,evidence_separation,scientific,hic_only,1.00,2,0.0,nan,nan,nan,0.0,0.0,0.795,16.764940857887268,3.0,11284,1888
claude-sonnet-4-6,evidence_separation,scientific,hic_only,all,6,0.3333333333333333,nan,nan,nan,0.0,0.0,0.45166666666666666,17.05473570028941,3.3333333333333335,34303,5694
